image_id,image_path,group,subgroup,event_name,image_caption,image_tags
img_00001,D:\Personal\PHOTOS\College\Birthdays\.trashed-1715453971-IMG-20240208-WA0016.jpg,College,birthdays,no_event,two cakes on a tray on a table,"cakes tray, cakes, tray table, tray, table"
img_00002,D:\Personal\PHOTOS\College\Birthdays\.trashed-1715453971-IMG-20240208-WA0017.jpg,College,birthdays,no_event,a cake that is on a table,"cake table, cake, table"
img_00003,D:\Personal\PHOTOS\College\Birthdays\.trashed-1715453971-IMG-20240208-WA0018.jpg,College,birthdays,no_event,a pizza sitting on top of a table,"pizza sitting, pizza, sitting table, sitting, table"
img_00004,D:\Personal\PHOTOS\College\Birthdays\.trashed-1715453971-IMG-20240208-WA0019.jpg,College,birthdays,no_event,a laptop sitting on top of a table,"laptop sitting, sitting table, laptop, table, sitting"
img_00005,D:\Personal\PHOTOS\College\Birthdays\.trashed-1715453971-IMG-20240208-WA0020.jpg,College,birthdays,no_event,a pair of shoes that are on the ground,"shoes ground, pair shoes, shoes, ground, pair"
img_00006,D:\Personal\PHOTOS\College\Birthdays\IMG-20231102-WA0010.jpg,College,birthdays,no_event,a man is standing in the middle of a street,"man standing, middle street, standing middle, street, standing"
img_00007,D:\Personal\PHOTOS\College\Birthdays\IMG-20231102-WA0011.jpg,College,birthdays,no_event,a young man standing next to a group of people,"man standing, standing group, young man, group people, standing"
img_00008,D:\Personal\PHOTOS\College\Birthdays\IMG-20231102-WA0012.jpg,College,birthdays,no_event,a woman is sitting on a beach holding a skateboard,"woman sitting, holding skateboard, sitting beach, skateboard, beach holding"
img_00009,D:\Personal\PHOTOS\College\Birthdays\IMG-20231102-WA0013.jpg,College,birthdays,no_event,a man standing on the side of a dirt road,"standing dirt, dirt road, man standing, road, dirt"
img_00010,D:\Personal\PHOTOS\College\Birthdays\IMG-20231102-WA0014.jpg,College,birthdays,no_event,a man standing on a dirt road with a group of people,"standing dirt, man standing, dirt road, road group, group people"
img_00011,D:\Personal\PHOTOS\College\Birthdays\IMG-20231102-WA0015.jpg,College,birthdays,no_event,a young man standing next to a group of people,"man standing, standing group, young man, group people, standing"
img_00012,D:\Personal\PHOTOS\College\Birthdays\IMG-20231102-WA0016.jpg,College,birthdays,no_event,people standing on top of a dirt field,"standing dirt, dirt field, people standing, dirt, standing"
img_00013,D:\Personal\PHOTOS\College\Birthdays\IMG-20231102-WA0017.jpg,College,birthdays,no_event,people standing on top of a dirt field,"standing dirt, dirt field, people standing, dirt, standing"
img_00014,D:\Personal\PHOTOS\College\Birthdays\IMG-20231102-WA0018.jpg,College,birthdays,no_event,a woman standing next to a group of people on a dirt road,"woman standing, people dirt, dirt road, standing group, group people"
img_00015,D:\Personal\PHOTOS\College\Birthdays\IMG-20231102-WA0019.jpg,College,birthdays,no_event,young people posing for a picture,"people posing, young people, posing picture, posing, young"
img_00016,D:\Personal\PHOTOS\College\Birthdays\IMG-20231102-WA0020.jpg,College,birthdays,no_event,a woman standing on a sidewalk next to a group of people,"standing sidewalk, woman standing, sidewalk group, sidewalk, woman"
img_00017,D:\Personal\PHOTOS\College\Birthdays\IMG-20231102-WA0022.jpg,College,birthdays,no_event,a group of people posing for a picture on a beach,"people posing, picture beach, posing picture, posing, group people"
img_00018,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0001.jpg,College,birthdays,no_event,three young men posing for a picture together,"men posing, young men, posing, posing picture, men"
img_00019,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0003.jpg,College,birthdays,no_event,young men standing next to each other,"men standing, young men, standing, men, young"
img_00020,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0005.jpg,College,birthdays,no_event,a crowd of people standing around a building,"people standing, crowd people, standing building, crowd, people"
img_00021,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0007.jpg,College,birthdays,no_event,two men standing next to each other in a parking lot,"men standing, standing parking, parking lot, parking, standing"
img_00022,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0009.jpg,College,birthdays,no_event,a man and a woman standing next to each other,"man woman, woman standing, standing, woman, man"
img_00023,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0017.jpg,College,birthdays,no_event,two young boys standing next to each other,"boys standing, young boys, boys, standing, young"
img_00024,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0019.jpg,College,birthdays,no_event,two young men standing next to each other in a parking lot,"men standing, standing parking, young men, parking lot, parking"
img_00025,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0021.jpg,College,birthdays,no_event,three men standing next to each other in a parking lot,"men standing, standing parking, parking lot, parking, men"
img_00026,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0023.jpg,College,birthdays,no_event,a man standing next to a group of people,"man standing, standing group, group people, standing, people"
img_00027,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0025.jpg,College,birthdays,no_event,young men standing around each other,"men standing, young men, men, standing, young"
img_00028,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0027.jpg,College,birthdays,no_event,a crowd of people standing around a building,"people standing, crowd people, standing building, crowd, people"
img_00029,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0029.jpg,College,birthdays,no_event,a large group of people standing in front of a building,"people standing, standing building, group people, large group, standing"
img_00030,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0031.jpg,College,birthdays,no_event,a large group of people standing in front of a building,"people standing, standing building, group people, large group, standing"
img_00031,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0033.jpg,College,birthdays,no_event,a man and a woman posing for a picture,"posing picture, posing, woman posing, man woman, picture"
img_00032,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0035.jpg,College,birthdays,no_event,two young men standing next to each other in front of a wall,"men standing, young men, standing wall, wall, standing"
img_00033,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0037.jpg,College,birthdays,no_event,people standing around a table with food,"table food, standing table, people standing, food, table"
img_00034,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0039.jpg,College,birthdays,no_event,a large group of people standing around a building,"people standing, standing building, group people, large group, people"
img_00035,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0041.jpg,College,birthdays,no_event,a large group of children are gathered around a building,"children gathered, group children, gathered building, children, large group"
img_00036,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0043.jpg,College,birthdays,no_event,a large group of people sitting on a sidewalk,"sitting sidewalk, people sitting, large group, group people, sidewalk"
img_00037,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0045.jpg,College,birthdays,no_event,a crowd of people standing around a fire pit,"crowd people, people standing, crowd, standing pit, people"
img_00038,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0047.jpg,College,birthdays,no_event,a group of people sitting on a sidewalk with a dog,"people sitting, group people, sidewalk dog, sitting sidewalk, people"
img_00039,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0049.jpg,College,birthdays,no_event,a crowd of people standing around a fire pit,"crowd people, people standing, crowd, standing pit, people"
img_00040,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0051.jpg,College,birthdays,no_event,a crowd of people standing around in a field,"standing field, crowd people, crowd, people standing, people"
img_00041,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0053.jpg,College,birthdays,no_event,a man with a bandanna on his head,"man bandanna, bandanna head, bandanna, head, man"
img_00042,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0055.jpg,College,birthdays,no_event,a large group of people watching a dog on a leash,"dog leash, watching dog, people watching, leash, group people"
img_00043,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0057.jpg,College,birthdays,no_event,a crowd of people standing around a group of boys,"group boys, standing group, people standing, crowd people, crowd"
img_00044,D:\Personal\PHOTOS\College\Birthdays\IMG-20240119-WA0059.jpg,College,birthdays,no_event,a crowd of people playing a game of frisbee,"game frisbee, frisbee, people playing, crowd people, crowd"
